Region,Date,Estimated Unemployment Rate (%),Estimated Labour Participation Rate (%),Area,Estimated Employed Rate (%),Year,Month_num,Month
Sikkim,2020-06-30,5.81,42.36,Rural,36.55,2020.0,6.0,June
Tamil Nadu,2019-05-31,0.97,49.44,Rural,48.47,2019.0,5.0,May
Tamil Nadu,2019-06-30,0.92,50.99,Rural,50.07,2019.0,6.0,June
Tamil Nadu,2019-07-31,6.01,53.94,Rural,47.93,2019.0,7.0,July
Tamil Nadu,2019-08-31,2.91,52.17,Rural,49.260000000000005,2019.0,8.0,August
Tamil Nadu,2019-09-30,1.71,45.62,Rural,43.91,2019.0,9.0,September
Tamil Nadu,2019-10-31,1.46,48.55,Rural,47.089999999999996,2019.0,10.0,October
Tamil Nadu,2019-11-30,2.46,50.95,Rural,48.49,2019.0,11.0,November
Tamil Nadu,2019-12-31,3.73,48.8,Rural,45.07,2019.0,12.0,December
Tamil Nadu,2020-01-31,1.18,46.23,Rural,45.05,2020.0,1.0,January
Tamil Nadu,2020-02-29,1.17,48.86,Rural,47.69,2020.0,2.0,February
Tamil Nadu,2020-03-31,6.36,51.56,Rural,45.2,2020.0,3.0,March
Tamil Nadu,2020-04-30,53.19,33.05,Rural,-20.14,2020.0,4.0,April
Tamil Nadu,2020-05-31,38.73,28.6,Rural,-10.129999999999995,2020.0,5.0,May
Tamil Nadu,2020-06-30,2.06,31.49,Rural,29.43,2020.0,6.0,June
Telangana,2019-05-31,2.23,61.74,Rural,59.510000000000005,2019.0,5.0,May
Telangana,2019-06-30,5.92,62.19,Rural,56.269999999999996,2019.0,6.0,June
Telangana,2019-07-31,2.45,64.4,Rural,61.95,2019.0,7.0,July
Telangana,2019-08-31,1.4,59.23,Rural,57.83,2019.0,8.0,August
Telangana,2019-09-30,5.49,72.57,Rural,67.08,2019.0,9.0,September
Telangana,2019-10-31,7.29,66.49,Rural,59.199999999999996,2019.0,10.0,October
Telangana,2019-11-30,6.47,65.17,Rural,58.7,2019.0,11.0,November
Telangana,2019-12-31,1.35,60.61,Rural,59.26,2019.0,12.0,December
Telangana,2020-01-31,5.02,68.51,Rural,63.49000000000001,2020.0,1.0,January
Telangana,2020-02-29,9.02,66.92,Rural,57.900000000000006,2020.0,2.0,February
Telangana,2020-03-31,5.63,68.53,Rural,62.9,2020.0,3.0,March
Telangana,2020-04-30,4.51,49.44,Rural,44.93,2020.0,4.0,April
Telangana,2020-05-31,34.01,61.0,Rural,26.990000000000002,2020.0,5.0,May
Telangana,2020-06-30,19.3,58.97,Rural,39.67,2020.0,6.0,June
Tripura,2019-05-31,29.25,64.47,Rural,35.22,2019.0,5.0,May
Tripura,2019-06-30,26.64,67.4,Rural,40.760000000000005,2019.0,6.0,June
Tripura,2019-07-31,22.47,60.54,Rural,38.07,2019.0,7.0,July
Tripura,2019-08-31,25.49,58.29,Rural,32.8,2019.0,8.0,August
Tripura,2019-09-30,30.23,65.9,Rural,35.67,2019.0,9.0,September
Tripura,2019-10-31,27.54,68.21,Rural,40.669999999999995,2019.0,10.0,October
Tripura,2019-11-30,25.25,64.29,Rural,39.040000000000006,2019.0,11.0,November
Tripura,2019-12-31,26.53,63.02,Rural,36.49,2019.0,12.0,December
Tripura,2020-01-31,31.91,68.61,Rural,36.7,2020.0,1.0,January
Tripura,2020-02-29,26.22,69.88,Rural,43.66,2020.0,2.0,February
Tripura,2020-03-31,31.61,68.28,Rural,36.67,2020.0,3.0,March
Tripura,2020-04-30,43.64,52.63,Rural,8.990000000000002,2020.0,4.0,April
Tripura,2020-05-31,14.71,46.9,Rural,32.19,2020.0,5.0,May
Tripura,2020-06-30,18.84,59.74,Rural,40.900000000000006,2020.0,6.0,June
Uttar Pradesh,2019-05-31,10.26,39.96,Rural,29.700000000000003,2019.0,5.0,May
Uttar Pradesh,2019-06-30,11.13,39.32,Rural,28.189999999999998,2019.0,6.0,June
Uttar Pradesh,2019-07-31,9.19,38.78,Rural,29.590000000000003,2019.0,7.0,July
Uttar Pradesh,2019-08-31,11.47,40.24,Rural,28.770000000000003,2019.0,8.0,August
Uttar Pradesh,2019-09-30,6.45,38.79,Rural,32.339999999999996,2019.0,9.0,September
